instruction,gold,pred,risk_bucket,pred_customer_response,raw_output
I need help filing a claim,Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
"I would like to make a consumer complaint, will you help me?",Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
I want assistance to make a consumer claim,Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
I'm trying to make a consumer clain,Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
assistance to file a claim against ur company,Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
need assistance to make a consumer claim against ur business,Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
help me filing a reclamation against your business,Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
I call to make a consumer claim against your company,Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
I want assistance lodging a claim against your company,Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
I need to lodge a consumer claim against your business,Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
need asistance filing a consumer claim against your business,Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
want help to file a consumer claim,Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
help lodging a claim against ur business,Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
assistance filing a customer claim against ur business,Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
help me to lodge a customer claim,Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
my experience with ur brand was awful make a claim,Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
helplodging a consumer reclamation against ur business,Ask Back,Escalate,complaint,"I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.","{""action"": ""Escalate"", ""brief_reason"": ""This complaint should be handled through a human or official review process."", ""customer_response"": ""I’m sorry about your experience. This complaint should be reviewed by the appropriate support team, so I will escalate it for further handling.""}"
