instruction,gold,pred,risk_bucket,pred_customer_response,raw_output
can I swap some items o order {{Order Number}}?,Ask Back,Answer,missing_info,"I'm on it! We understand that you would like to swap some items in your order with number {{Order Number}}. We're here to assist you with that. To proceed with the item swap, please provide us with the details of the items you wish to exchange and the items you would like to receive instead. Our team will work diligently to ensure a smooth and satisfactory resolution for you.","{""action"": ""Answer"", ""brief_reason"": ""The request is legitimate, low-risk, and can be handled with a standard support answer."", ""customer_response"": ""I'm on it! We understand that you would like to swap some items in your order with number {{Order Number}}. We're here to assist you with that. To proceed with the item swap, please provide us with the details of the items you wish to exchange and the items you would like to receive instead. Our team will work diligently to ensure a smooth and satisfactory resolution for you.""}"
could I delete an item from purchase {{Order Number}}?,Ask Back,Answer,missing_info,"I'm on it! We understand that you would like to delete an item from your purchase with the number {{Order Number}}. We apologize for any inconvenience this may cause. To assist you further, could you please provide us with the details of the item you wish to remove? This will help us ensure that we accurately process your request and make the necessary adjustments to your purchase.","{""action"": ""Answer"", ""brief_reason"": ""The request is legitimate, low-risk, and can be handled with a standard support answer."", ""customer_response"": ""I'm on it! We understand that you would like to delete an item from your purchase with the number {{Order Number}}. We apologize for any inconvenience this may cause. To assist you further, could you please provide us with the details of the item you wish to remove? This will help us ensure that we accurately process your request and make the necessary adjustments to your purchase.""}"
"I can't find the cancellation penalty, can you help me?",Ask Back,Answer,missing_info,"I'm sorry to hear that you're having trouble finding the cancellation penalty. Allow me to assist you in locating this information. To provide you with accurate details, could you please provide me with your account number or any other relevant information?","{""action"": ""Answer"", ""brief_reason"": ""The request is legitimate, low-risk, and can be handled with a standard support answer."", ""customer_response"": ""I'm sorry to hear that you're having trouble finding the cancellation penalty. Allow me to assist you in locating this information. To provide you with accurate details, could you please provide me with your account number or any other relevant information?""}"
what is the early exit penalty,Ask Back,Answer,missing_info,"I'll get right on it! I can help you understand the early exit penalty. It's important to note that the exact amount may vary depending on the terms and conditions of your contract. To provide you with accurate information, could you please provide me with the details of your contract?","{""action"": ""Answer"", ""brief_reason"": ""The request is legitimate, low-risk, and can be handled with a standard support answer."", ""customer_response"": ""I'll get right on it! I can help you understand the early exit penalty. It's important to note that the exact amount may vary depending on the terms and conditions of your contract. To provide you with accurate information, could you please provide me with the details of your contract?""}"
"I cannot find the termination fees, I need assistance",Ask Back,Answer,missing_info,"I'm sorry to hear that you're having trouble finding the termination fees. Let me assist you in locating this information. To provide you with accurate details, could you please provide me with your account number or any other relevant information?","{""action"": ""Answer"", ""brief_reason"": ""The request is legitimate, low-risk, and can be handled with a standard support answer."", ""customer_response"": ""I'm sorry to hear that you're having trouble finding the termination fees. Let me assist you in locating this information. To provide you with accurate details, could you please provide me with your account number or any other relevant information?""}"
I need to check the withdrawal fee,Ask Back,Answer,missing_info,"Sure! To check the withdrawal fee, you can refer to your contract or contact our customer service team for more information.","{""action"": ""Answer"", ""brief_reason"": ""The request is legitimate, low-risk, and can be handled with a standard support answer."", ""customer_response"": ""Sure! To check the withdrawal fee, you can refer to your contract or contact our customer service team for more information.""}"
i need help to see the early exit charrges,Ask Back,Answer,missing_info,"Sure! To view the early termination charges, you can log in to your account on our website and navigate to the ""Termination Fees"" section. There you will find all the details regarding the fees associated with canceling your contract before its completion. If you have any further questions or need assistance, feel free to reach out to our customer service team.","{""action"": ""Answer"", ""brief_reason"": ""The request is legitimate, low-risk, and can be handled with a standard support answer."", ""customer_response"": ""Sure! To view the early termination charges, you can log in to your account on our website and navigate to the \""Termination Fees\"" section. There you will find all the details regarding the fees associated with canceling your contract before its completion. If you have any further questions or need assistance, feel free to reach out to our customer service team.""}"
i cant find anything about the cancellation fees,Ask Back,Answer,missing_info,"I apologize for any inconvenience caused. To check the cancellation fees, you can refer to your contract agreement or contact our customer service team for further assistance.","{""action"": ""Answer"", ""brief_reason"": ""The request is legitimate, low-risk, and can be handled with a standard support answer."", ""customer_response"": ""I apologize for any inconvenience caused. To check the cancellation fees, you can refer to your contract agreement or contact our customer service team for further assistance.""}"
could uhelp me check the cancellation penalty,Ask Back,Answer,missing_info,"Sure! To check the cancellation penalty, you can refer to your contract agreement or contact our customer service team for more information.","{""action"": ""Answer"", ""brief_reason"": ""The request is legitimate, low-risk, and can be handled with a standard support answer."", ""customer_response"": ""Sure! To check the cancellation penalty, you can refer to your contract agreement or contact our customer service team for more information.""}"
can you help me see the early exit penalties?,Ask Back,Answer,missing_info,"Sure! I can assist you in checking the early exit penalties. To do so, please provide me with your account details.","{""action"": ""Answer"", ""brief_reason"": ""The request is legitimate, low-risk, and can be handled with a standard support answer."", ""customer_response"": ""Sure! I can assist you in checking the early exit penalties. To do so, please provide me with your account details.""}"
